Fetching sequence...
Done.
Fetching annotated genes...
Shortest length: 38.0
Longest length:  1806.0
Median length:   288.0
Done.
Finding possible proteins...
Done. Found 17579 possible genes.
L	| TP	FP	| P	R	| F1
------------------------------------------------------
50	| 434	3070	| 0.12	0.85	| 0.22
55	| 433	2862	| 0.13	0.85	| 0.23
60	| 431	2667	| 0.14	0.85	| 0.24
65	| 429	2510	| 0.15	0.84	| 0.25
70	| 427	2368	| 0.15	0.84	| 0.26
75	| 426	2252	| 0.16	0.84	| 0.27
80	| 424	2145	| 0.17	0.83	| 0.28
85	| 423	2052	| 0.17	0.83	| 0.28
90	| 417	1968	| 0.17	0.82	| 0.29
95	| 413	1884	| 0.18	0.81	| 0.29
100	| 411	1815	| 0.18	0.81	| 0.30
105	| 404	1741	| 0.19	0.79	| 0.30
110	| 399	1676	| 0.19	0.78	| 0.31
115	| 396	1613	| 0.20	0.78	| 0.31
120	| 392	1568	| 0.20	0.77	| 0.32
125	| 383	1524	| 0.20	0.75	| 0.32
130	| 379	1487	| 0.20	0.74	| 0.32
135	| 375	1425	| 0.21	0.74	| 0.32
140	| 367	1385	| 0.21	0.72	| 0.32
145	| 359	1348	| 0.21	0.71	| 0.32
150	| 354	1306	| 0.21	0.70	| 0.33
155	| 348	1275	| 0.21	0.68	| 0.33
160	| 346	1232	| 0.22	0.68	| 0.33
165	| 339	1206	| 0.22	0.67	| 0.33
170	| 332	1181	| 0.22	0.65	| 0.33
175	| 330	1146	| 0.22	0.65	| 0.33
180	| 326	1109	| 0.23	0.64	| 0.34
185	| 321	1072	| 0.23	0.63	| 0.34
190	| 319	1040	| 0.23	0.63	| 0.34
195	| 314	1012	| 0.24	0.62	| 0.34
200	| 310	981	| 0.24	0.61	| 0.34
205	| 307	966	| 0.24	0.60	| 0.34
210	| 302	942	| 0.24	0.59	| 0.34
215	| 293	914	| 0.24	0.58	| 0.34
220	| 286	891	| 0.24	0.56	| 0.34
225	| 281	867	| 0.24	0.55	| 0.34
230	| 276	853	| 0.24	0.54	| 0.34
235	| 276	828	| 0.25	0.54	| 0.34
240	| 272	806	| 0.25	0.53	| 0.34
245	| 267	789	| 0.25	0.52	| 0.34
250	| 264	773	| 0.25	0.52	| 0.34
255	| 261	744	| 0.26	0.51	| 0.34
260	| 257	726	| 0.26	0.50	| 0.34
265	| 254	701	| 0.27	0.50	| 0.35
270	| 247	686	| 0.26	0.49	| 0.34
275	| 242	668	| 0.27	0.48	| 0.34
280	| 237	654	| 0.27	0.47	| 0.34
285	| 226	644	| 0.26	0.44	| 0.33
290	| 218	627	| 0.26	0.43	| 0.32
295	| 210	617	| 0.25	0.41	| 0.31
300	| 206	605	| 0.25	0.40	| 0.31
305	| 205	592	| 0.26	0.40	| 0.31
310	| 200	580	| 0.26	0.39	| 0.31
315	| 194	568	| 0.25	0.38	| 0.31
320	| 188	556	| 0.25	0.37	| 0.30
325	| 184	540	| 0.25	0.36	| 0.30
330	| 179	532	| 0.25	0.35	| 0.29
335	| 177	520	| 0.25	0.35	| 0.29
340	| 175	516	| 0.25	0.34	| 0.29
345	| 168	504	| 0.25	0.33	| 0.28
350	| 163	496	| 0.25	0.32	| 0.28
355	| 162	483	| 0.25	0.32	| 0.28
360	| 160	474	| 0.25	0.31	| 0.28
365	| 160	462	| 0.26	0.31	| 0.28
370	| 156	454	| 0.26	0.31	| 0.28
375	| 155	447	| 0.26	0.30	| 0.28
380	| 153	429	| 0.26	0.30	| 0.28
385	| 147	422	| 0.26	0.29	| 0.27
390	| 143	412	| 0.26	0.28	| 0.27
395	| 138	403	| 0.26	0.27	| 0.26
400	| 133	400	| 0.25	0.26	| 0.26
405	| 132	386	| 0.25	0.26	| 0.26
410	| 129	377	| 0.25	0.25	| 0.25
415	| 124	368	| 0.25	0.24	| 0.25
420	| 123	360	| 0.25	0.24	| 0.25
425	| 120	350	| 0.26	0.24	| 0.25
430	| 119	342	| 0.26	0.23	| 0.25
435	| 117	332	| 0.26	0.23	| 0.24
440	| 115	325	| 0.26	0.23	| 0.24
445	| 112	319	| 0.26	0.22	| 0.24
450	| 108	312	| 0.26	0.21	| 0.23
455	| 107	306	| 0.26	0.21	| 0.23
460	| 103	297	| 0.26	0.20	| 0.23
465	| 103	288	| 0.26	0.20	| 0.23
470	| 101	282	| 0.26	0.20	| 0.23
475	| 99	277	| 0.26	0.19	| 0.22
480	| 95	273	| 0.26	0.19	| 0.22
485	| 91	265	| 0.26	0.18	| 0.21
490	| 90	261	| 0.26	0.18	| 0.21
495	| 87	255	| 0.25	0.17	| 0.20
